,acc,val_acc,loss,val_loss
0,0.889150000175,0.968300003529,0.364305699533,0.101040759251
1,0.948216669718,0.974200005531,0.177886314351,0.0799275799402
2,0.958350004594,0.977300005674,0.146776083522,0.0701930069468
3,0.962500005484,0.97950000453,0.12924404773,0.0632458118968
4,0.967283339302,0.98050000596,0.11285935277,0.0609080882849
5,0.968933340152,0.982000005245,0.109077098431,0.0583839316859
6,0.971350007057,0.981400005102,0.100552219755,0.0575245170871
7,0.972033339779,0.98370000577,0.097166047916,0.0539762631484
8,0.972816673835,0.982200005054,0.0917760320525,0.0563396529523
9,0.974850006262,0.984000005245,0.0873679324336,0.0529949015113
10,0.975533340851,0.984800004959,0.0844173964138,0.0507276212026
11,0.976083340923,0.984400005341,0.0820657785373,0.0511499238912
12,0.977616673986,0.985300005436,0.0780352786016,0.0508185339086
13,0.978233340383,0.98510000515,0.0769916714551,0.049982171756
14,0.978666674097,0.985500005245,0.0737768061321,0.0488454229875
15,0.979033339818,0.986000005245,0.0730626116284,0.0497714514322
16,0.979566673835,0.985200004816,0.0704054322614,0.0492087966994
17,0.980283340573,0.985600005627,0.0689761352466,0.0482641165991
18,0.98021667393,0.985900006056,0.0683475851807,0.0483315747448
19,0.980383340478,0.985700004816,0.0669924130482,0.0476300172646
20,0.981383340319,0.986600005865,0.065331965413,0.0465903733601
21,0.981183340987,0.986300005913,0.0646368477147,0.0463572527086
22,0.981600006938,0.986700005531,0.0636477216372,0.0456999703117
23,0.982300007502,0.986000005484,0.06254922529,0.0466050473623
24,0.982100007415,0.987300005674,0.0602508445146,0.0463022598521
25,0.982616674145,0.986900005579,0.0592284896085,0.0450087535797
26,0.983216674447,0.987300004482,0.0575883203137,0.0448078419431
27,0.983133340955,0.986900005102,0.0588079051423,0.0451568870524
28,0.983450006684,0.986900005102,0.0567101020408,0.0463955886374
29,0.98348334078,0.987100004911,0.057447025433,0.0451747830961
30,0.983733340343,0.986600004435,0.0551460650168,0.0452428142969
31,0.984666673899,0.986700006247,0.0529514998167,0.0450609914938
32,0.985200006723,0.987200004816,0.0526625531527,0.0450680520393
33,0.98471667397,0.987700004816,0.0527066760626,0.0435854509768
34,0.984500007192,0.987600005388,0.05271571905,0.0435110234592
35,0.984600007455,0.98810000515,0.0518697367602,0.043358520308
36,0.985183340152,0.986600004196,0.0516981708991,0.0451603474368
37,0.985366673708,0.988000005484,0.0495192021589,0.0414970523166
38,0.984916673263,0.987200005531,0.0489013335348,0.0443339167189
39,0.985733340581,0.987800004721,0.0491346314504,0.0430858289568
40,0.986366673787,0.986600006104,0.0488592063249,0.0454752494367
41,0.985866673589,0.988100005865,0.0472419353232,0.0437504165723
42,0.986700006763,0.987100004435,0.0463720632762,0.0456207964185
43,0.986400006731,0.987900005817,0.046762815632,0.0430447722774
44,0.985950006922,0.988000005007,0.0449820465997,0.0432035419916
45,0.98656667312,0.988400004864,0.0458975496892,0.0427361189133
46,0.986533339938,0.988400004864,0.0460463144421,0.0426122609059
47,0.986366673072,0.988100004673,0.0457581710289,0.0432328565438
48,0.986966672619,0.988500005722,0.0441753573447,0.0423000202994
49,0.98635000666,0.988000005484,0.0457239886685,0.0423821167913
50,0.987533340136,0.987800005198,0.0433619056797,0.0424025748223
51,0.987433339596,0.988200005054,0.0419873436951,0.0428437667881
52,0.987950006644,0.987700005054,0.0421876370027,0.0427957645722
53,0.987633339365,0.988900005579,0.0421390766378,0.0419421438971
54,0.987883339763,0.988000005007,0.0394701222774,0.0429309949561
55,0.988150006453,0.988300005436,0.0406118764514,0.0433556874126
56,0.987450005968,0.987900005102,0.0423798898349,0.0410300471856
57,0.988250006477,0.987900005102,0.0405719662317,0.0422110285873
58,0.988350006024,0.988200005531,0.0394905145881,0.042107932477
59,0.988166673501,0.988500005245,0.039825127492,0.0429285455112
60,0.988350005786,0.988500005007,0.0381023110045,0.0419192792528
61,0.988600006024,0.988800005436,0.0381582151224,0.0414283355483
62,0.989500005643,0.988100005388,0.0367600245768,0.0420325504798
63,0.98848333931,0.988100005388,0.0369332089998,0.0429863488603
64,0.989100006262,0.989000005722,0.036071554648,0.0412935863007
65,0.988766672889,0.988400004625,0.0363088243579,0.0422380069935
66,0.988666672826,0.987900005102,0.0382203790618,0.0415883707778
67,0.988850006262,0.988000005484,0.0365286887702,0.0437911112507
68,0.988866672079,0.988500005484,0.0370268241939,0.0405896767471
69,0.989450005889,0.988200005293,0.037710258697,0.042673437226
70,0.988433339357,0.988500005484,0.0372344547823,0.041954492677
71,0.98900000608,0.988500005245,0.0365522362683,0.040522810269
72,0.989750006119,0.988500005722,0.0349048809183,0.0413677167817
73,0.989250006,0.988400004864,0.0344112832442,0.0412306680642
74,0.989516672452,0.988700004101,0.0355422314368,0.0424344601933
75,0.989483339826,0.988400005341,0.0352789917046,0.0414166017961
76,0.989750005484,0.987800005198,0.0340821292554,0.0410078494252
77,0.98976667273,0.98810000515,0.0345931251821,0.0433043701547
78,0.989766672611,0.988100004673,0.0339689979488,0.0414144728274
79,0.989016673128,0.987900004387,0.0362368130368,0.0428840556185
80,0.98983333993,0.988300004959,0.033470117376,0.0417442134292
